SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"60122-1",4529236,1,"Black","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/4529236.jpg",206
"60122-1",370026,8,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3700,"Technic Brick 1X2, Ø4.9","http://cache.lego.com/media/bricks/5/1/370026.jpg",335
"60122-1",6143318,2,"Black","System: Connectors",23443,"3.2 Shaft W/3.2 Hole","http://cache.lego.com/media/bricks/5/1/6143318.jpg",17
"60122-1",6138603,1,"Black","System: Fences And Ladders",23444,"Lattice 3X6 Module W/Knobs","http://cache.lego.com/media/bricks/5/1/6138603.jpg",9
"60122-1",4517986,1,"Black","System: Functional Elements",61485,"Bottom W. Turntable 4X4","http://cache.lego.com/media/bricks/5/1/4517986.jpg",158
"60122-1",302126,1,"Black","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302126.jpg",649
"60122-1",303226,4,"Black","System: Plates",3032,"Plate 4X6","http://cache.lego.com/media/bricks/5/1/303226.jpg",282
"60122-1",306926,2,"Black","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/306926.jpg",451
"60122-1",395826,1,"Black","System: Plates",3958,"Plate 6X6","http://cache.lego.com/media/bricks/5/1/395826.jpg",109
"60122-1",243226,1,"Black","System: Plates, Special",2432,"Clamp 1X2","http://cache.lego.com/media/bricks/5/1/243226.jpg",233
"60122-1",601926,2,"Black","System: Plates, Special",6019,"Plate 1X1 W/Holder Vertical","http://cache.lego.com/media/bricks/5/1/601926.jpg",329
"60122-1",4515368,4,"Black","System: Plates, Special",60478,"Plate 1X2 W/Shaft Ø3.2","http://cache.lego.com/media/bricks/5/1/4515368.jpg",184
"60122-1",4556158,2,"Black","System: Plates, Special",60470,"Plate 1X2 W/Holder, Vertical","http://cache.lego.com/media/bricks/5/1/4556158.jpg",234
"60122-1",4653049,1,"Black","System: Plates, Special",87609,"Plate 2X6X2/3 W 4 Hor. Knob","http://cache.lego.com/media/bricks/5/1/4653049.jpg",29
